rank,주요대학,전형대분류,전형세부유형,정원외,region,founder,university,admission_type,college,department,quota,applicants,rate
,,농어촌,농어촌_일반,,세종,사립,홍익대학교(세종),농어촌학생전형,AID융합과학기술대학,바이오화학융합공학과,2,3,1.5
,,농어촌,농어촌_일반,,세종,사립,홍익대학교(세종),농어촌학생전형,,게임학부 게임소프트웨어전공(공학계),2,3,1.5
,,농어촌,농어촌_교과,O,충남,국립,국립공주대학교,학생부교과전형  농어촌학생전형(정원외),인문사회과학대학,경제통상학부,2,3,1.5
,,농어촌,농어촌_교과,O,충남,국립,국립공주대학교,학생부교과전형  농어촌학생전형(정원외),천안공과대학,소프트웨어학과,2,3,1.5
,,논술,논술,,충남,사립,단국대학교(천안),[논술위주] 논술우수자 경쟁률 현황 (죽전),,AI건축융합학과,2,3,1.5
,,농어촌,농어촌_일반,O,충남,사립,한국기술교육대학교,농어촌학생[정원외],,경영학부 / 융합경영전공,2,3,1.5
,,농어촌,농어촌_교과,O,충남,사립,호서대학교,- 정원외 학생부교과 농어촌학생전형,,한국언어문화학과,2,1,1.5
,,농어촌,농어촌_교과,O,충북,사립,건국대학교(글로컬),[학생부교과] 농어촌학생(정원외),인문사회융합대학,문헌정보학과,2,3,1.5
,,농어촌,농어촌_교과,O,충북,사립,건국대학교(글로컬),[학생부교과] 농어촌학생(정원외),과학기술대학,메카트로닉스공학과,2,3,1.5
,,농어촌,농어촌_교과,O,충북,사립,건국대학교(글로컬),[학생부교과] 농어촌학생(정원외),과학기술대학,컴퓨터공학과,2,3,1.5
,,농어촌,농어촌_교과,O,충북,사립,건국대학교(글로컬),[학생부교과] 농어촌학생(정원외),과학기술대학,바이오메디컬공학과,2,3,1.5
,,농어촌,농어촌_종합,,경기,사립,차의과학대학교,학생부종합(농어촌학생특별전형),,글로벌미래인재대학,15,23,1.53
14,O,논술,논술,,경기,사립,경희대학교(용인),국제캠퍼스 논술우수자전형,자연계열,응용화학과,5,8,1.6
14,O,논술,논술,,서울,사립,경희대학교(서울),국제캠퍼스 논술우수자전형,자연계열,응용화학과,5,8,1.6
,,농어촌,농어촌_교과,O,경기,사립,한세대학교,"농어촌학생(정원외) - 음악전공/공연예술전공 교과 20% + 실기 80%, 이외학과 교과 100%",,자유전공학부,10,3,1.6
,,농어촌,농어촌_교과,O,충남,사립,백석대학교,정원외 모집 학생부 교과 농어촌학생 일반전형,,외식산업학부,10,16,1.6
,,농어촌,농어촌_일반,,경기,사립,수원대학교,농어촌학생전형,혁신공과대학,전기전자공학부,5,8,1.6
,,논술,논술,,경기,사립,을지대학교(성남의정부),논술우수자,,안경광학과,8,13,1.63
,,논술,논술,,대전,사립,을지대학교(대전),논술우수자,,안경광학과,8,13,1.63
,,논술,논술,,경기,사립,강남대학교,[정원내]논술위주(논술전형),인문사회계,유아교육과,11,18,1.64
19,O,논술,논술,,서울,사립,동국대학교(서울),논술,공과,산업시스템공학과,6,10,1.67
26,O,농어촌,농어촌_일반,,서울,국립,서울과학기술대학교,기회균형전형(농어촌학생),조형대학,조형예술학과,3,5,1.67
37,O,농어촌,농어촌_종합,,경기,사립,명지대학교(용인),학생부종합(농어촌학생전형),,국제통상학전공,3,5,1.67
37,O,농어촌,농어촌_종합,,경기,사립,명지대학교(용인),학생부종합(농어촌학생전형),,AI경영정보학과,3,5,1.67
37,O,농어촌,농어촌_종합,,서울,사립,명지대학교(서울),학생부종합(농어촌학생전형),,국제통상학전공,3,5,1.67
37,O,농어촌,농어촌_종합,,서울,사립,명지대학교(서울),학생부종합(농어촌학생전형),,AI경영정보학과,3,5,1.67
39,O,농어촌,농어촌_교과,,경기,사립,가천대학교(성남),농어촌(교과) 전형,자연계열,인공지능학과,3,5,1.67
,,농어촌,농어촌_교과,O,경기,사립,대진대학교,학생부교과(농어촌학생전형-정원외) - 교과100%,인문사회대학,경영학과,3,5,1.67
,,농어촌,농어촌_일반,,경기,사립,수원대학교,농어촌학생전형,혁신공과대학,화학공학·신소재공학부,3,5,1.67
,,농어촌,농어촌_교과,,경기,사립,안양대학교(안양),학생부교과(농어촌학생),,관광경영학과(교직),3,5,1.67
,,농어촌,농어촌_일반,O,경기,사립,용인대학교,정원외 농어촌학생 특별전형,문화예술대학,예능 / 미디어디자인학과,3,5,1.67
19,O,논술,논술,,서울,사립,동국대학교(서울),논술,첨단융합,컴퓨터 · AI학부(자연),20,34,1.7
,,논술,논술,,경기,사립,한신대학교,논술,인문,자유전공학부,30,51,1.7
,,논술,논술,,경기,사립,수원대학교,교과논술전형,문화예술융합대학,아트앤엔터테인먼트학부 디지털콘텐츠,10,17,1.7
,,농어촌,농어촌_교과,O,충남,사립,호서대학교,- 정원외 학생부교과 농어촌학생전형,,컴퓨터공학과,10,5,1.7
43,O,농어촌,농어촌_교과,,경기,사립,경기대학교(수원),학생부교과(농어촌학생전형),,"AI컴퓨터공학부 / 컴퓨터공학전공, 인공지능전공, SW안전보안전공, 모빌리티SW전공",7,12,1.71
43,O,농어촌,농어촌_교과,,서울,사립,경기대학교(서울),학생부교과(농어촌학생전형),,"AI컴퓨터공학부 / 컴퓨터공학전공, 인공지능전공, SW안전보안전공, 모빌리티SW전공",7,12,1.71
,,논술,논술,,세종,사립,홍익대학교(세종),논술전형,,광고홍보학부,14,24,1.71
,,논술,논술,,경기,사립,강남대학교,[정원내]논술위주(논술전형),인문사회계,교육학과,7,12,1.71
40,O,논술,논술,,경기,사립,가톨릭대학교(부천),논술전형,,바이오메디컬소프트웨어학과,4,7,1.75
40,O,논술,논술,,서울,사립,가톨릭대학교(서울),논술전형,,바이오메디컬소프트웨어학과,4,7,1.75
,,농어촌,농어촌_교과,O,경기,사립,대진대학교,학생부교과(농어촌학생전형-정원외) - 교과100%,인문사회대학,미디어커뮤니케이션학과,4,7,1.75
,,농어촌,농어촌_일반,,경기,사립,수원대학교,농어촌학생전형,지능형SW융합대학,AI데이터과학부,4,7,1.75
19,O,논술,논술,,서울,사립,동국대학교(서울),논술,바이오시스템,바이오시스템대학(광역화),10,18,1.8
29,O,논술,논술,,서울,사립,세종대학교,논술(논술우수자 전형),인공지능융합,양자지능정보학과,5,9,1.8
,,논술,논술,,경기,사립,신한대학교(의정부/동두천),논술전형(약술형)(교과10%+논술90%),,경영대학(자율전공) - AI융합경영학과 - 글로벌무역학과 - 국제개발협력학과 - 글로벌관광경영학과,35,63,1.8
,,농어촌,농어촌_교과,O,충남,사립,백석대학교,정원외 모집 학생부 교과 농어촌학생 일반전형,,경상학부,10,18,1.8
,,농어촌,농어촌_교과,,경기,사립,강남대학교,[정원내]학생부교과(농어촌학생전형),인문사회계,상경학부,5,9,1.8
,,농어촌,농어촌_교과,O,충남,사립,백석대학교,정원외 모집 학생부 교과 농어촌학생 일반전형,,보건학부 물리치료학과,5,9,1.8
,,논술,논술,,경기,사립,강남대학교,[정원내]논술위주(논술전형),인문사회계,복지융합대학,28,51,1.82
,,논술,논술,,경기,사립,강남대학교,[정원내]논술위주(논술전형),공학계,부동산건설학부,24,44,1.83
,,논술,논술,,경기,사립,한신대학교,논술,인문,심리·아동학,6,11,1.83
,,농어촌,농어촌_일반,,충남,사립,유원대학교(아산),농어촌학생,,간호학과,6,11,1.83
,,농어촌,농어촌_교과,O,충남,사립,호서대학교,- 정원외 학생부교과 농어촌학생전형,,식품공학과,6,1,1.83
,,농어촌,농어촌_일반,,충북,사립,유원대학교(영동),농어촌학생,,간호학과,6,11,1.83
,,논술,논술,,경기,사립,강남대학교,[정원내]논술위주(논술전형),인문사회계,상경학부,32,59,1.84
19,O,논술,논술,,서울,사립,동국대학교(서울),논술,공과,건설환경공학과,7,13,1.86
,,논술,논술,,경기,사립,을지대학교(성남의정부),논술우수자,,인문사회계열학부,35,65,1.86
,,논술,논술,,대전,사립,을지대학교(대전),논술우수자,,인문사회계열학부,35,65,1.86
,,논술,논술,,세종,사립,홍익대학교(세종),논술전형,AID융합과학기술대학,조선해양모빌리티공학과,7,13,1.86
,,논술,논술,,세종,사립,홍익대학교(세종),논술전형,AID융합과학기술대학,바이오화학융합공학과,9,17,1.89
20,O,논술,논술,,서울,사립,홍익대학교(서울),논술전형,공과대학,컴퓨터공학과,29,55,1.9
,,논술,논술,,경기,사립,신한대학교(의정부/동두천),논술전형(약술형)(교과10%+논술90%),,소프트웨어융합학과,10,19,1.9
,,논술,논술,,경기,사립,수원대학교,교과논술전형,지능형SW융합대학,AI데이터과학부,32,61,1.91
