rank,전형대분류,전형세부유형,정원외,region,founder,university,admission_type,college,department,quota,applicants,rate
17,논술,논술,,서울,사립,건국대학교(서울),논술(KU논술우수자),부동산과학원,부동산학과,5,7,1.4
20,논술,논술,,서울,사립,홍익대학교(서울),논술전형,공과대학,컴퓨터공학과,29,43,1.48
14,농어촌,기회균형_혼합,,경기,사립,경희대학교(용인),서울캠퍼스 학생부종합[기회균형전형Ⅰ(국가보훈·농어촌·수급자·자립아동 등)],인문계열,철학과,2,3,1.5
14,농어촌,기회균형_혼합,,경기,사립,경희대학교(용인),서울캠퍼스 학생부종합[기회균형전형Ⅰ(국가보훈·농어촌·수급자·자립아동 등)],자연계열,물리학과,2,3,1.5
14,농어촌,기회균형_혼합,,경기,사립,경희대학교(용인),국제캠퍼스 학생부종합[기회균형전형Ⅰ(국가보훈·농어촌·수급자·자립아동 등)],인문계열,일본어학과,2,3,1.5
14,농어촌,기회균형_혼합,,경기,사립,경희대학교(용인),국제캠퍼스 학생부종합[기회균형전형Ⅰ(국가보훈·농어촌·수급자·자립아동 등)],자연계열,산업경영공학과,2,3,1.5
14,농어촌,기회균형_혼합,,경기,사립,경희대학교(용인),국제캠퍼스 학생부종합[기회균형전형Ⅰ(국가보훈·농어촌·수급자·자립아동 등)],자연계열,생체의공학과,2,3,1.5
14,농어촌,기회균형_혼합,,경기,사립,경희대학교(용인),국제캠퍼스 학생부종합[기회균형전형Ⅰ(국가보훈·농어촌·수급자·자립아동 등)],자연계열,응용화학과,2,3,1.5
14,농어촌,기회균형_혼합,,경기,사립,경희대학교(용인),국제캠퍼스 학생부종합[기회균형전형Ⅰ(국가보훈·농어촌·수급자·자립아동 등)],예술계열,도예학과,2,3,1.5
14,농어촌,기회균형_혼합,,서울,사립,경희대학교(서울),서울캠퍼스 학생부종합[기회균형전형Ⅰ(국가보훈·농어촌·수급자·자립아동 등)],인문계열,철학과,2,3,1.5
14,농어촌,기회균형_혼합,,서울,사립,경희대학교(서울),서울캠퍼스 학생부종합[기회균형전형Ⅰ(국가보훈·농어촌·수급자·자립아동 등)],자연계열,물리학과,2,3,1.5
14,농어촌,기회균형_혼합,,서울,사립,경희대학교(서울),국제캠퍼스 학생부종합[기회균형전형Ⅰ(국가보훈·농어촌·수급자·자립아동 등)],인문계열,일본어학과,2,3,1.5
14,농어촌,기회균형_혼합,,서울,사립,경희대학교(서울),국제캠퍼스 학생부종합[기회균형전형Ⅰ(국가보훈·농어촌·수급자·자립아동 등)],자연계열,산업경영공학과,2,3,1.5
14,농어촌,기회균형_혼합,,서울,사립,경희대학교(서울),국제캠퍼스 학생부종합[기회균형전형Ⅰ(국가보훈·농어촌·수급자·자립아동 등)],자연계열,생체의공학과,2,3,1.5
14,농어촌,기회균형_혼합,,서울,사립,경희대학교(서울),국제캠퍼스 학생부종합[기회균형전형Ⅰ(국가보훈·농어촌·수급자·자립아동 등)],자연계열,응용화학과,2,3,1.5
14,농어촌,기회균형_혼합,,서울,사립,경희대학교(서울),국제캠퍼스 학생부종합[기회균형전형Ⅰ(국가보훈·농어촌·수급자·자립아동 등)],예술계열,도예학과,2,3,1.5
17,논술,논술,,서울,사립,건국대학교(서울),논술(KU논술우수자),융합생명과학대학,융합생명과학대학자유전공학부,14,21,1.5
17,논술,논술,,서울,사립,건국대학교(서울),논술(KU논술우수자),이과대학,화학과,4,6,1.5
17,논술,논술,,서울,사립,건국대학교(서울),논술(KU논술우수자),융합생명과학대학,생명과학과,4,6,1.5
18,논술,논술,,경기,사립,한국외국어대학교(용인),논술전형,,영어통번역학과,10,15,1.5
18,논술,논술,,서울,사립,한국외국어대학교(서울),논술전형,,영어통번역학과,10,15,1.5
18,논술,논술,,경기,사립,한국외국어대학교(용인),논술전형,,이탈리아어과,4,6,1.5
18,논술,논술,,경기,사립,한국외국어대학교(용인),논술전형,,네덜란드어과,4,6,1.5
18,논술,논술,,경기,사립,한국외국어대학교(용인),논술전형,,인도·남아시아학과,4,6,1.5
18,논술,논술,,경기,사립,한국외국어대학교(용인),논술전형,,전자물리학과,4,6,1.5
18,논술,논술,,경기,사립,한국외국어대학교(용인),논술전형,,생명공학과,4,6,1.5
18,논술,논술,,경기,사립,한국외국어대학교(용인),논술전형,,AI로봇공학과,4,6,1.5
18,논술,논술,,서울,사립,한국외국어대학교(서울),논술전형,,이탈리아어과,4,6,1.5
18,논술,논술,,서울,사립,한국외국어대학교(서울),논술전형,,네덜란드어과,4,6,1.5
18,논술,논술,,서울,사립,한국외국어대학교(서울),논술전형,,인도·남아시아학과,4,6,1.5
18,논술,논술,,서울,사립,한국외국어대학교(서울),논술전형,,전자물리학과,4,6,1.5
18,논술,논술,,서울,사립,한국외국어대학교(서울),논술전형,,생명공학과,4,6,1.5
18,논술,논술,,서울,사립,한국외국어대학교(서울),논술전형,,AI로봇공학과,4,6,1.5
20,농어촌,농어촌_일반,,서울,사립,홍익대학교(서울),농어촌학생전형,법과대학,법학부,4,6,1.5
20,농어촌,농어촌_일반,,서울,사립,홍익대학교(서울),농어촌학생전형,공과대학,산업·데이터공학과,2,3,1.5
26,농어촌,농어촌_일반,,서울,국립,서울과학기술대학교,기회균형전형(농어촌학생),공과대학,기계시스템공학부(미래자동차전공),2,3,1.5
26,농어촌,농어촌_일반,,서울,국립,서울과학기술대학교,기회균형전형(농어촌학생),공과대학,안전공학과,2,3,1.5
26,농어촌,농어촌_일반,,서울,국립,서울과학기술대학교,기회균형전형(농어촌학생),기술경영융합대학,경영학과(글로벌테크노경영전공)_인문,2,3,1.5
30,논술,논술,,경기,사립,단국대학교(죽전),[논술위주] 논술우수자 경쟁률 현황 (죽전),,인프라건설공학과,6,9,1.5
30,농어촌,농어촌_종합,O,경기,사립,단국대학교(죽전),[학생부종합] 농어촌학생(정원외) 경쟁률 현황 (죽전),,도시계획ㆍ부동산학부,2,3,1.5
30,농어촌,농어촌_종합,O,경기,사립,단국대학교(죽전),[학생부종합] 농어촌학생(정원외) 경쟁률 현황 (죽전),,무역학과,2,3,1.5
30,농어촌,농어촌_종합,O,경기,사립,단국대학교(죽전),[학생부종합] 농어촌학생(정원외) 경쟁률 현황 (죽전),,고분자시스템공학부(고분자공학전공),2,3,1.5
30,농어촌,농어촌_종합,O,경기,사립,단국대학교(죽전),[학생부종합] 농어촌학생(정원외) 경쟁률 현황 (죽전),,인프라건설공학과,2,3,1.5
30,농어촌,농어촌_종합,O,경기,사립,단국대학교(죽전),[학생부종합] 농어촌학생(정원외) 경쟁률 현황 (죽전),,컴퓨터공학과,2,3,1.5
30,농어촌,농어촌_종합,O,경기,사립,단국대학교(죽전),[학생부종합] 농어촌학생(정원외) 경쟁률 현황 (천안),,화학과,2,3,1.5
30,농어촌,농어촌_종합,O,경기,사립,단국대학교(죽전),[학생부종합] 농어촌학생(정원외) 경쟁률 현황 (천안),,에너지공학과,2,3,1.5
31,농어촌,농어촌_종합,,서울,사립,광운대학교,학생부종합【농어촌학생전형】,,법학부,2,3,1.5
37,농어촌,농어촌_종합,,경기,사립,명지대학교(용인),학생부종합(농어촌학생전형),,인공지능전공,2,3,1.5
37,농어촌,농어촌_종합,,서울,사립,명지대학교(서울),학생부종합(농어촌학생전형),,인공지능전공,2,3,1.5
38,농어촌,농어촌_일반,,대전,국립,충남대학교,농어촌학생전형,농업생명과학대학,농업경제학과,2,3,1.5
38,농어촌,농어촌_일반,,대전,국립,충남대학교,농어촌학생전형,공과대학,에너지공학과,2,3,1.5
38,농어촌,농어촌_일반,,대전,국립,충남대학교,농어촌학생전형,농업생명과학대학,생물환경화학과,2,3,1.5
39,농어촌,농어촌_교과,,경기,사립,가천대학교(성남),농어촌(교과) 전형,인문계열,경제학과,2,3,1.5
39,농어촌,농어촌_교과,,경기,사립,가천대학교(성남),농어촌(교과) 전형,자연계열,건축공학과,2,3,1.5
39,농어촌,농어촌_교과,,경기,사립,가천대학교(성남),농어촌(교과) 전형,자연계열,생명과학과,2,3,1.5
39,농어촌,농어촌_교과,,경기,사립,가천대학교(성남),농어촌(교과) 전형,자연계열,반도체물리학과,2,3,1.5
39,농어촌,농어촌_종합,,경기,사립,가천대학교(성남),농어촌(종합) 전형,인문계열,사회복지학과,2,3,1.5
46,농어촌,농어촌_일반,,서울,사립,한성대학교,농어촌학생전형,크리에이티브인문예술대학,크리에이티브인문학부(야),4,6,1.5
47,농어촌,농어촌_종합,,충북,국립,충북대학교,학생부종합(농어촌학생전형),공과대학,신소재공학과,2,3,1.5
47,농어촌,농어촌_종합,,충북,국립,충북대학교,학생부종합(농어촌학생전형),공과대학,환경공학과,2,3,1.5
47,농어촌,농어촌_종합,,충북,국립,충북대학교,학생부종합(농어촌학생전형),공과대학,공업화학과,2,3,1.5
47,농어촌,농어촌_종합,,충북,국립,충북대학교,학생부종합(농어촌학생전형),창의융합대학,바이오헬스학부,2,3,1.5
49,농어촌,농어촌_일반,,서울,사립,삼육대학교,농어촌전형,,체육학과(男),2,1,1.5
49,농어촌,농어촌_일반,,서울,사립,삼육대학교,농어촌전형,,컴퓨터공학부,2,3,1.5
29,논술,논술,,서울,사립,세종대학교,논술(논술우수자 전형),인공지능융합,지능정보융합학과,17,26,1.53
31,논술,논술,,서울,사립,광운대학교,논술【논술우수자전형】,,전자통신공학과,9,14,1.56
15,논술,논술,,서울,공립,서울시립대학교,논술전형,공과대학,토목공학과,5,8,1.6
49,논술,논술,,서울,사립,삼육대학교,논술우수자전형,,환경디자인원예학과,15,24,1.6
39,논술,논술,,경기,사립,가천대학교(성남),논술 전형,자연계열,스마트팩토리학과,18,29,1.61
18,논술,논술,,경기,사립,한국외국어대학교(용인),논술전형,,중국외교통상학부,8,13,1.63
18,논술,논술,,서울,사립,한국외국어대학교(서울),논술전형,,중국외교통상학부,8,13,1.63
25,논술,논술,,경기,사립,아주대학교,논술우수자전형,,첨단에코에너지공학과,8,13,1.63
25,논술,논술,,경기,사립,아주대학교,논술우수자전형,,미래모빌리티공학과,14,23,1.64
14,농어촌,기회균형_혼합,,경기,사립,경희대학교(용인),서울캠퍼스 학생부종합[기회균형전형Ⅰ(국가보훈·농어촌·수급자·자립아동 등)],자연계열,화학과,3,5,1.67
14,농어촌,기회균형_혼합,,서울,사립,경희대학교(서울),서울캠퍼스 학생부종합[기회균형전형Ⅰ(국가보훈·농어촌·수급자·자립아동 등)],자연계열,화학과,3,5,1.67
18,논술,논술,,경기,사립,한국외국어대학교(용인),논술전형,,융합일본지역학부,6,10,1.67
18,논술,논술,,서울,사립,한국외국어대학교(서울),논술전형,,융합일본지역학부,6,10,1.67
26,농어촌,농어촌_일반,,서울,국립,서울과학기술대학교,기회균형전형(농어촌학생),공과대학,기계공학과,6,10,1.67
39,논술,논술,,경기,사립,가천대학교(성남),논술 전형,자연계열,스마트시티학과,18,30,1.67
39,농어촌,농어촌_교과,,경기,사립,가천대학교(성남),농어촌(교과) 전형,자연계열,인공지능학과,3,5,1.67
46,농어촌,농어촌_일반,,서울,사립,한성대학교,농어촌학생전형,미래융합사회과학대학,미래융합사회과학대학(야),6,10,1.67
14,논술,논술,,경기,사립,경희대학교(용인),국제캠퍼스 논술우수자전형,자연계열,건축학과(5년제),7,12,1.71
14,논술,논술,,서울,사립,경희대학교(서울),국제캠퍼스 논술우수자전형,자연계열,건축학과(5년제),7,12,1.71
17,논술,논술,,서울,사립,건국대학교(서울),논술(KU논술우수자),공과대학,사회환경공학부,7,12,1.71
18,논술,논술,,경기,사립,한국외국어대학교(용인),논술전형,,노어과,7,12,1.71
18,논술,논술,,서울,사립,한국외국어대학교(서울),논술전형,,노어과,7,12,1.71
14,논술,논술,,경기,사립,경희대학교(용인),국제캠퍼스 논술우수자전형,자연계열,원자력공학과,8,14,1.75
14,논술,논술,,서울,사립,경희대학교(서울),국제캠퍼스 논술우수자전형,자연계열,원자력공학과,8,14,1.75
14,논술,논술,,경기,사립,경희대학교(용인),서울캠퍼스 논술우수자전형,인문계열,사회학과,4,7,1.75
14,논술,논술,,경기,사립,경희대학교(용인),서울캠퍼스 논술우수자전형,자연계열,지리학과(자연),4,7,1.75
14,논술,논술,,경기,사립,경희대학교(용인),국제캠퍼스 논술우수자전형,자연계열,우주과학과,4,7,1.75
14,논술,논술,,서울,사립,경희대학교(서울),서울캠퍼스 논술우수자전형,인문계열,사회학과,4,7,1.75
14,논술,논술,,서울,사립,경희대학교(서울),서울캠퍼스 논술우수자전형,자연계열,지리학과(자연),4,7,1.75
14,논술,논술,,서울,사립,경희대학교(서울),국제캠퍼스 논술우수자전형,자연계열,우주과학과,4,7,1.75
18,논술,논술,,경기,사립,한국외국어대학교(용인),논술전형,,행정학과,8,14,1.75
18,논술,논술,,서울,사립,한국외국어대학교(서울),논술전형,,행정학과,8,14,1.75
25,논술,논술,,경기,사립,아주대학교,논술우수자전형,,첨단신소재공학과,8,14,1.75
30,농어촌,농어촌_종합,O,경기,사립,단국대학교(죽전),[학생부종합] 농어촌학생(정원외) 경쟁률 현황 (죽전),,경영학부,4,7,1.75
30,논술,논술,,경기,사립,단국대학교(죽전),[논술위주] 논술우수자 경쟁률 현황 (죽전),,융합반도체공학과,4,7,1.75
31,논술,논술,,서울,사립,광운대학교,논술【논술우수자전형】,,정보융합학부,8,14,1.75
20,논술,논술,,서울,사립,홍익대학교(서울),논술전형,공과대학,산업·데이터공학과,14,25,1.79
17,논술,논술,,서울,사립,건국대학교(서울),논술(KU논술우수자),공과대학,컴퓨터공학과,5,9,1.8
25,논술,논술,,경기,사립,아주대학교,논술우수자전형,,AI컴퓨터공학부,10,18,1.8
40,논술,논술,,경기,사립,가톨릭대학교(부천),논술전형,,바이오메디컬화학공학과,5,9,1.8
40,논술,논술,,경기,사립,가톨릭대학교(부천),논술전형,,의생명과학과,5,9,1.8
40,논술,논술,,서울,사립,가톨릭대학교(서울),논술전형,,바이오메디컬화학공학과,5,9,1.8
40,논술,논술,,서울,사립,가톨릭대학교(서울),논술전형,,의생명과학과,5,9,1.8
46,농어촌,농어촌_일반,,서울,사립,한성대학교,농어촌학생전형,미래융합사회과학대학,미래융합사회과학대학,10,18,1.8
14,논술,논술,,경기,사립,경희대학교(용인),서울캠퍼스 논술우수자전형,자연계열,화학과,6,11,1.83
14,논술,논술,,경기,사립,경희대학교(용인),서울캠퍼스 논술우수자전형,자연계열,한약학과,6,11,1.83
14,논술,논술,,서울,사립,경희대학교(서울),서울캠퍼스 논술우수자전형,자연계열,화학과,6,11,1.83
14,논술,논술,,서울,사립,경희대학교(서울),서울캠퍼스 논술우수자전형,자연계열,한약학과,6,11,1.83
49,논술,논술,,서울,사립,삼육대학교,논술우수자전형,,영어영문학과,12,22,1.83
17,논술,논술,,서울,사립,건국대학교(서울),논술(KU논술우수자),공과대학,생물공학과,7,13,1.86
31,논술,논술,,서울,사립,광운대학교,논술【논술우수자전형】,,전자융합공학과,8,15,1.88
31,논술,논술,,서울,사립,광운대학교,논술【논술우수자전형】,,로봇학부 AI로봇전공,8,15,1.88
49,논술,논술,,서울,사립,삼육대학교,논술우수자전형,,글로벌한국학과,8,15,1.88
20,논술,논술,,서울,사립,홍익대학교(서울),논술전형,건축도시대학,도시공학과,9,17,1.89
